TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Wofford,5,2,7,4
The Citadel,4,3,5,6
Elon,2,5,5,6
Chattanooga,2,5,3,8
Georgia Southern,2,5,3,8
Western Carolina,0,7,2,9
McNeese State,5,1,7,5
Stephen F Austin,4,2,4,7
Sam Houston State,4,3,6,5
Texas State,3,3,5,6
Nicholls State,2,4,4,7
Northwestern State,2,4,4,7
Southeastern Louisiana,1,5,2,9
Alabama A&M,7,3,9,3
Alcorn State,5,4,6,5
Jackson State,5,4,6,5
Mississippi Valley State,5,4,6,5
Alabama State,5,4,5,6
Arkansas-Pine Bluff,7,3,8,4
Southern,4,5,5,6
Texas Southern,3,6,3,8
Grambling State,3,6,3,8
Prairie View A&M,2,7,3,7
