TEAM,Conference
Florida State,ACC
Maryland,ACC
NC State,ACC
Boston College,ACC
Clemson,ACC
Wake Forest,ACC
Virginia Tech,ACC
Miami (FL),ACC
Georgia Tech,ACC
North Carolina,ACC
Duke,ACC
Virginia,ACC
Nebraska,Big 12
Missouri,Big 12
Kansas State,Big 12
Iowa State,Big 12
Colorado,Big 12
Kansas,Big 12
Oklahoma,Big 12
Oklahoma State,Big 12
Texas A&M,Big 12
Baylor,Big 12
Texas Tech,Big 12
Texas,Big 12
Connecticut,Big East
West Virginia,Big East
Pittsburgh,Big East
Syracuse,Big East
South Florida,Big East
Louisville,Big East
Cincinnati,Big East
Rutgers,Big East
Ohio State,Big Ten
Wisconsin,Big Ten
Michigan State,Big Ten
Iowa,Big Ten
Illinois,Big Ten
Penn State,Big Ten
Michigan,Big Ten
Northwestern,Big Ten
Purdue,Big Ten
Minnesota,Big Ten
Indiana,Big Ten
UCF,Conference USA
East Carolina,Conference USA
Southern Mississippi,Conference USA
Marshall,Conference USA
UAB,Conference USA
Memphis,Conference USA
SMU,Conference USA
Tulsa,Conference USA
Houston,Conference USA
UTEP,Conference USA
Rice,Conference USA
Tulane,Conference USA
Navy,Independent
Notre Dame,Independent
Army,Independent
Miami (OH),Mid-American
Ohio,Mid-American
Temple,Mid-American
Kent State,Mid-American
Bowling Green,Mid-American
Buffalo,Mid-American
Akron,Mid-American
Northern Illinois,Mid-American
Toledo,Mid-American
Western Michigan,Mid-American
Ball State,Mid-American
Central Michigan,Mid-American
Eastern Michigan,Mid-American
TCU,Mountain West
Utah,Mountain West
Air Force,Mountain West
San Diego State,Mountain West
BYU,Mountain West
Colorado State,Mountain West
UNLV,Mountain West
New Mexico,Mountain West
Wyoming,Mountain West
Oregon,PAC-12
Stanford,PAC-12
Washington,PAC-12
USC,PAC-12
Oregon State,PAC-12
Arizona State,PAC-12
Arizona,PAC-12
California,PAC-12
UCLA,PAC-12
Washington State,PAC-12
South Carolina,SEC
Florida,SEC
Georgia,SEC
Tennessee,SEC
Kentucky,SEC
Vanderbilt,SEC
Auburn,SEC
Arkansas,SEC
LSU,SEC
Alabama,SEC
Mississippi State,SEC
Ole Miss,SEC
Florida Intl,Sun Belt
Troy,Sun Belt
Middle Tennessee,Sun Belt
Arkansas State,Sun Belt
Louisiana-Monroe,Sun Belt
Florida Atlantic,Sun Belt
North Texas,Sun Belt
Louisiana Lafayette,Sun Belt
Western Kentucky,Sun Belt
Nevada,WAC
Boise State,WAC
Hawaii,WAC
Fresno State,WAC
Louisiana Tech,WAC
Idaho,WAC
Utah State,WAC
New Mexico State,WAC
San José State,WAC
Montana State,FCS
Eastern Washington,FCS
Montana,FCS
Sacramento State,FCS
Weber State,FCS
Northern Arizona,FCS
Northern Colorado,FCS
Portland State,FCS
Idaho State,FCS
Montana State,FCS
Eastern Washington,FCS
Montana,FCS
Sacramento State,FCS
Weber State,FCS
Northern Arizona,FCS
Northern Colorado,FCS
Portland State,FCS
Idaho State,FCS
William & Mary,FCS
Delaware,FCS
Villanova,FCS
New Hampshire,FCS
Richmond,FCS
Massachusetts,FCS
Rhode Island,FCS
James Madison,FCS
Maine,FCS
Towson,FCS
Old Dominion,FCS
Georgia State,FCS
Southern Utah,FCS
UC Davis,FCS
Cal Poly,FCS
South Dakota,FCS
North Dakota,FCS
Penn,FCS
Yale,FCS
Harvard,FCS
Brown,FCS
Dartmouth,FCS
Columbia,FCS
Cornell,FCS
Princeton,FCS
Bethune-Cookman,FCS
South Carolina State,FCS
Florida A&M,FCS
Hampton,FCS
Norfolk State,FCS
Savannah State,FCS
Morgan State,FCS
Delaware State,FCS
North Carolina A&T,FCS
North Carolina Central,FCS
Howard,FCS
Northern Iowa,FCS
Western Illinois,FCS
North Dakota State,FCS
Indiana State,FCS
Illinois State,FCS
South Dakota State,FCS
Missouri State,FCS
Southern Illinois,FCS
Youngstown State,FCS
Central Connecticut,FCS
Robert Morris,FCS
Duquesne,FCS
Bryant,FCS
Albany,FCS
Wagner,FCS
Monmouth,FCS
Sacred Heart,FCS
St Francis (PA),FCS
Southeast Missouri State,FCS
Eastern Kentucky,FCS
Jacksonville State,FCS
Tennessee-Martin,FCS
Murray State,FCS
Tennessee Tech,FCS
Eastern Illinois,FCS
Austin Peay,FCS
Tennessee State,FCS
Lehigh,FCS
Colgate,FCS
Holy Cross,FCS
Georgetown,FCS
Lafayette,FCS
Bucknell,FCS
Fordham,FCS
Jacksonville,FCS
Dayton,FCS
Drake,FCS
San Diego,FCS
Morehead State,FCS
Davidson,FCS
Butler,FCS
Campbell,FCS
Marist,FCS
Valparaiso,FCS
Wofford,FCS
Appalachian State,FCS
Georgia Southern,FCS
Chattanooga,FCS
Elon,FCS
Furman,FCS
Samford,FCS
Western Carolina,FCS
The Citadel,FCS
Stephen F Austin,FCS
McNeese State,FCS
Central Arkansas,FCS
Sam Houston State,FCS
Northwestern State,FCS
Nicholls State,FCS
Texas State,FCS
Southeastern Louisiana,FCS
Lamar,FCS
Jackson State,FCS
Alabama State,FCS
Alcorn State,FCS
Alabama A&M,FCS
Mississippi Valley State,FCS
Grambling State,FCS
Texas Southern,FCS
Prairie View A&M,FCS
Arkansas-Pine Bluff,FCS
Southern,FCS
