"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L"
"South Alabama",2,6,6,6
"Kent State",2,6,3,9
"SE Louisiana",0,0,0,1
"W Carolina",0,0,0,2
"Towson",0,0,0,1
"Missouri",2,6,4,8
"Alabama St.",0,0,0,1
"Texas State",0,8,2,10
"Notre Dame",1,1,4,8
"Hampton",0,0,0,1
"Ole Miss",2,6,5,7
"Louisville",7,1,9,3
"Maryland",3,6,6,6
"Morgan State",0,0,0,2
"Troy",6,2,9,3
"Stony Brook",0,0,0,1
"Elon",0,0,0,1
"Grambling St",0,0,0,1
"Indiana State",0,0,0,1
"North Carolina A&T",0,0,1,1
"Iowa State",2,7,3,9
"McNeese",0,0,0,1
"Louisiana-Monroe",3,5,4,8
"Connecticut",1,6,3,9
"Youngstown St",0,0,0,1
"Wyoming",6,3,8,5
"Old Dominion",7,1,9,3
"Middle Tennessee",5,3,8,4
"E Illinois",0,0,1,0
"UTEP",2,6,3,8
"Cincinnati",1,7,4,8
"Central Michigan",3,5,6,6
"Virginia",1,7,2,10
"Texas Tech",3,6,5,7
"Florida Atlantic",2,6,3,9
"Western Kentucky",8,1,9,3
"UTSA",5,3,6,6
"Mercer",0,0,0,1
"Virginia Tech",6,3,9,4
"Arkansas State",7,1,7,5
"Utah State",1,7,3,9
"Georgia State",2,6,3,9
"Idaho",6,2,8,4
"California",3,6,5,7
"Illinois State",0,0,1,0
"Kentucky",4,4,7,5
"UNLV",3,5,4,8
"Idaho State",0,0,0,2
"Ohio",6,3,8,5
"UCF",4,4,6,6
"Lamar",0,0,0,1
"Arkansas",3,5,7,5
"Jacksonville St",0,0,0,1
"New Mexico",6,2,8,4
"Georgia Southern",4,4,5,7
"Portland State",0,0,0,2
"Eastern Michigan",4,4,7,5
"Wake Forest",3,5,6,6
"Nevada",3,5,5,7
"Akron",3,5,5,7
"North Dakota",0,0,0,1
"Charleston So",0,0,0,1
"Wofford",0,0,0,1
"Penn State",9,1,11,2
"North Carolina",5,3,8,4
"Nicholls",0,0,0,2
"Washington State",7,2,8,4
"North Carolina State",3,5,6,6
"Tulsa",6,1,9,3
"Boston College",2,6,6,6
"Prairie View",0,0,0,2
"Bethune-Cookman",0,0,0,1
"Sacramento St",0,0,0,1
"Houston",5,2,9,3
"Temple",7,1,10,3
"Pittsburgh",5,3,8,4
"Michigan State",1,8,3,9
"N Colorado",0,0,0,1
"Baylor",3,6,6,6
"Navy",1,0,9,3
"North Texas",3,5,5,7
"East Carolina",1,6,3,9
"Florida International",4,4,4,8
"Texas A&M",4,4,8,4
"Colorado",8,2,10,3
"Vanderbilt",3,5,6,6
"JMU",0,0,0,1
"Arizona State",2,7,5,7
"Mississippi State",3,5,5,7
"Miami (FL)",5,3,8,4
"South Florida",6,1,10,2
"North Dakota St",0,0,1,0
"Kansas",1,8,2,10
"Delaware",0,0,0,1
"San Diego State",7,2,10,3
"Florida State",5,3,9,3
"Monmouth",0,0,0,1
"Oregon",2,7,4,8
"Ohio State",8,1,11,1
"Alabama",9,0,13,0
"Duke",1,7,4,8
"Utah",5,4,8,4
"Buffalo",1,7,2,10
"Texas",3,6,5,7
"TCU",4,5,6,6
"W Illinois",0,0,1,0
"Delaware State",0,0,0,1
"Iowa",6,3,8,4
"Syracuse",2,6,4,8
"Florida",6,3,8,4
"Gardner-Webb",0,0,0,1
"Cent Arkansas",0,0,1,0
"Oklahoma State",7,2,9,3
"Nebraska",6,3,9,3
"Wagner",0,0,0,2
"Missouri State",0,0,0,1
"Wisconsin",7,3,10,3
"Louisiana-Lafayette",5,3,6,6
"Washington",9,1,12,1
"Air Force",5,3,9,3
"Stanford",6,3,9,3
"Purdue",1,8,3,9
"Alcorn State",0,0,0,1
"Northwestern",5,4,6,6
"Memphis",5,2,8,4
"Marshall",2,6,3,9
"Illinois",2,7,3,9
"Minnesota",5,4,8,4
"Tennessee",4,4,8,4
"Incarnate Word",0,0,0,1
"Arizona",1,8,3,9
"Auburn",5,3,8,4
"Michigan",7,2,10,2
"West Virginia",7,2,10,2
"Lafayette",0,0,0,1
"Tennessee State",0,0,0,1
"Samford",0,0,0,1
"Tennessee Tech",0,0,0,1
"The Citadel",0,0,0,1
"Chattanooga",0,0,0,1
