TEAM,Conference
Clemson,ACC
Wake Forest,ACC
Florida State,ACC
NC State,ACC
Boston College,ACC
Maryland,ACC
Virginia Tech,ACC
Virginia,ACC
Georgia Tech,ACC
Miami (FL),ACC
North Carolina,ACC
Duke,ACC
Oklahoma State,Big 12
Kansas State,Big 12
Baylor,Big 12
Oklahoma,Big 12
Missouri,Big 12
Texas,Big 12
Texas A&M,Big 12
Iowa State,Big 12
Texas Tech,Big 12
Kansas,Big 12
West Virginia,Big East
Cincinnati,Big East
Louisville,Big East
Rutgers,Big East
Pittsburgh,Big East
Connecticut,Big East
South Florida,Big East
Syracuse,Big East
Michigan State,Big Ten
Michigan,Big Ten
Nebraska,Big Ten
Iowa,Big Ten
Northwestern,Big Ten
Minnesota,Big Ten
Wisconsin,Big Ten
Penn State,Big Ten
Purdue,Big Ten
Ohio State,Big Ten
Illinois,Big Ten
Indiana,Big Ten
Southern Miss,Conference USA
Marshall,Conference USA
East Carolina,Conference USA
UAB,Conference USA
UCF,Conference USA
Memphis,Conference USA
Houston,Conference USA
Tulsa,Conference USA
SMU,Conference USA
Rice,Conference USA
UTEP,Conference USA
Tulane,Conference USA
BYU,Independent
Notre Dame,Independent
Navy,Independent
Army,Independent
Ohio,Mid-American
Temple,Mid-American
Kent State,Mid-American
Bowling Green,Mid-American
Miami (Ohio),Mid-American
Buffalo,Mid-American
Akron,Mid-American
Northern Illinois,Mid-American
Toledo,Mid-American
Western Michigan,Mid-American
Ball State,Mid-American
Eastern Michigan,Mid-American
Central Michigan,Mid-American
TCU,Mountain West
Boise State,Mountain West
Wyoming,Mountain West
San Diego State,Mountain West
Air Force,Mountain West
Colorado State,Mountain West
UNLV,Mountain West
New Mexico,Mountain West
Oregon,PAC-12
Stanford,PAC-12
Washington,PAC-12
California,PAC-12
Oregon State,PAC-12
Washington State,PAC-12
USC,PAC-12
UCLA,PAC-12
Arizona State,PAC-12
Utah,PAC-12
Colorado,PAC-12
Arizona,PAC-12
Georgia,SEC
South Carolina,SEC
Florida,SEC
Vanderbilt,SEC
Kentucky,SEC
Tennessee,SEC
LSU,SEC
Alabama,SEC
Arkansas,SEC
Auburn,SEC
Mississippi State,SEC
Ole Miss,SEC
Arkansas State,Sun Belt
Western Kentucky,Sun Belt
Louisiana-Lafayette,Sun Belt
Florida Intl,Sun Belt
North Texas,Sun Belt
Louisiana-Monroe,Sun Belt
Troy,Sun Belt
Middle Tennessee,Sun Belt
Florida Atlantic,Sun Belt
Louisiana Tech,WAC
Utah State,WAC
Nevada,WAC
San Jose State,WAC
Fresno State,WAC
Hawaii,WAC
New Mexico State,WAC
Idaho,WAC
Montana,FCS
Montana State,FCS
Portland State,FCS
Eastern Washington,FCS
Weber State,FCS
Northern Arizona,FCS
Sacramento State,FCS
Idaho State,FCS
Northern Colorado,FCS
Stony Brook,FCS
Liberty,FCS
Coastal Carolina,FCS
Presbyterian College,FCS
Gardner-Webb,FCS
VMI,FCS
Charleston Southern,FCS
Texas State,FCS
Texas San Antonio,FCS
Georgia State,FCS
Towson,FCS
Old Dominion,FCS
Maine,FCS
New Hampshire,FCS
Delaware,FCS
James Madison,FCS
William & Mary,FCS
Massachusetts,FCS
Rhode Island,FCS
Villanova,FCS
Richmond,FCS
North Dakota,FCS
Cal Poly,FCS
South Dakota,FCS
Southern Utah,FCS
UC Davis,FCS
Harvard,FCS
Brown,FCS
Yale,FCS
Penn,FCS
Dartmouth,FCS
Cornell,FCS
Princeton,FCS
Columbia,FCS
Norfolk State,FCS
Bethune-Cookman,FCS
South Carolina State,FCS
Florida A&M,FCS
Hampton,FCS
North Carolina A&T,FCS
Morgan State,FCS
Howard,FCS
Delaware State,FCS
North Carolina Central,FCS
Savannah State,FCS
North Dakota State,FCS
Northern Iowa,FCS
Illinois State,FCS
Indiana State,FCS
South Dakota State,FCS
Youngstown State,FCS
Southern Illinois,FCS
Missouri State,FCS
Western Illinois,FCS
Duquesne,FCS
Albany,FCS
Bryant,FCS
Monmouth,FCS
Wagner,FCS
Sacred Heart,FCS
Central Connecticut,FCS
Robert Morris,FCS
St Francis (PA),FCS
Jacksonville State,FCS
Tennessee Tech,FCS
Eastern Kentucky,FCS
Murray State,FCS
Tennessee-Martin,FCS
Tennessee State,FCS
Southeast Missouri State,FCS
Austin Peay,FCS
Eastern Illinois,FCS
Lehigh,FCS
Georgetown,FCS
Holy Cross,FCS
Bucknell,FCS
Colgate,FCS
Lafayette,FCS
Fordham,FCS
San Diego,FCS
Drake,FCS
Jacksonville,FCS
Campbell,FCS
Dayton,FCS
Butler,FCS
Marist,FCS
Davidson,FCS
Morehead State,FCS
Valparaiso,FCS
Georgia Southern,FCS
Wofford,FCS
Appalachian State,FCS
Furman,FCS
Samford,FCS
Chattanooga,FCS
Elon,FCS
The Citadel,FCS
Western Carolina,FCS
Sam Houston State,FCS
Central Arkansas,FCS
Stephen F Austin,FCS
McNeese State,FCS
Northwestern State,FCS
Lamar,FCS
Southeastern Louisiana,FCS
Nicholls State,FCS
Jackson State,FCS
Alabama State,FCS
Alabama A&M,FCS
Alcorn State,FCS
Mississippi Valley State,FCS
Grambling State,FCS
Arkansas-Pine Bluff,FCS
Prairie View A&M,FCS
Southern,FCS
Texas Southern,FCS
