TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Elon,1,7,3,8
Western Carolina,0,8,1,10
Central Arkansas,6,1,9,3
Sam Houston State,6,1,11,4
Southeastern Louisiana,5,2,5,6
McNeese State,4,3,7,4
Stephen F Austin,4,3,5,6
Northwestern State,2,5,4,7
Lamar,1,6,4,8
Nicholls State,0,7,1,10
Alabama State,7,2,7,4
Jackson State,7,2,7,5
Alabama A&M,6,3,7,4
Mississippi Valley State,5,4,5,6
Alcorn State,4,5,4,7
Arkansas-Pine Bluff,8,1,10,2
Southern,3,6,4,7
Prairie View A&M,3,6,3,8
Texas Southern,2,7,2,9
Grambling State,0,9,1,10
