"Visitor","Visitor.Score","Home","Home.Score"
" Sacramento State",19," New Mexico State",49
" UCLA",49," Rice",24
" UCF",56," Akron",14
" Eastern Michigan",26," Ball State",37
" Eastern Washington",20," Idaho",3
" Massachusetts",0," Connecticut",37
" McNeese State",27," Middle Tennessee",21
" Minnesota",30," UNLV",27
" Northern Arizona",6," Arizona State",63
" Northern Colorado",0," Utah",41
" South Carolina",17," Vanderbilt",13
" Southeast Missouri State",27," Central Michigan",38
" Southern Utah",3," Utah State",34
" Towson",21," Kent State",41
" Washington State",6," BYU",30
" Boise State",13," Michigan State",17
" San Jose State",17," Stanford",20
" Tennessee",35," North Carolina State",21
" Villanova",10," Temple",41
" Wagner",3," Florida Atlantic",7
" Appalachian State",13," East Carolina",35
" Arkansas State",34," Oregon",57
" Austin Peay",10," Western Kentucky",49
" Bowling Green",14," Florida",27
" Buffalo",23," Georgia",45
" Clemson",26," Auburn",19
" Colorado State",22," Colorado",17
" Eastern Kentucky",6," Purdue",48
" Florida International",26," Duke",46
" Hawai'i",10," USC",49
" Idaho State",21," Air Force",49
" Indiana State",17," Indiana",24
" Iowa",18," Northern Illinois",17
" Jackson State",9," Mississippi State",56
" Jacksonville State",24," Arkansas",49
" Lamar",0," Louisiana-Lafayette",40
" Liberty",17," Wake Forest",20
" Marshall",34," West Virginia",69
" Miami (Ohio)",10," Ohio State",56
" Miami (Florida)",41," Boston College",32
" Michigan",14," Alabama",41
" Murray State",3," Florida State",69
" Nevada",31," California",24
" North Texas",14," LSU",41
" Northern Iowa",21," Wisconsin",26
" Northwestern State",6," Texas Tech",44
" Northwestern",42," Syracuse",41
" Notre Dame",50," Navy",10
" Ohio",24," Penn State",14
" Oklahoma",24," UTEP",7
" Richmond",19," Virginia",43
" Rutgers",24," Tulane",12
" San Diego State",12," Washington",21
" Savannah State",0," Oklahoma State",84
" South Dakota State",17," Kansas",31
" Southeastern Louisiana",10," Missouri",62
" Southern Mississippi",20," Nebraska",49
" Southern University",21," New Mexico",66
" Missouri State",9," Kansas State",51
" Texas State",30," Houston",13
" Chattanooga",13," South Florida",34
" Tennessee-Martin",20," Memphis",17
" UTSA",33," South Alabama",31
" Toledo",17," Arizona",24
" Troy",39," UAB",29
" Tulsa",23," Iowa State",38
" Weber State",10," Fresno State",37
" Western Michigan",7," Illinois",24
" William & Mary",6," Maryland",7
" Wyoming",17," Texas",37
" Youngstown State",31," Pittsburgh",17
" Central Arkansas",27," Mississippi",49
" Elon",0," North Carolina",62
" Kentucky",14," Louisville",32
" SMU",24," Baylor",59
" Georgia Tech",17," Virginia Tech",20
" Pittsburgh",10," Cincinnati",34
" Utah",20," Utah State",27
" Akron",38," Florida International",41
" Arkansas",31," Louisiana-Monroe",34
" Auburn",10," Mississippi State",28
" Austin Peay",7," Virginia Tech",42
" Ball State",27," Clemson",52
" Fresno State",25," Oregon",42
" Sacramento State",30," Colorado",28
" UC Davis",13," San Jose State",45
" UCF",16," Ohio State",31
" Duke",13," Stanford",50
" East Carolina",10," South Carolina",48
" Eastern Illinois",21," Western Michigan",52
" Eastern Washington",20," Washington State",24
" Florida A&M",13," Oklahoma",69
" Florida Atlantic",17," Middle Tennessee",31
" Florida",20," Texas A&M",17
" Georgia State",13," Tennessee",51
" Georgia",41," Missouri",20
" Grambling",0," TCU",56
" Howard",0," Rutgers",26
" Idaho",13," Bowling Green",21
" Illinois State",31," Eastern Michigan",14
" Illinois",14," Arizona State",45
" Indiana",45," Massachusetts",6
" Iowa State",9," Iowa",6
" Kent State",14," Kentucky",47
" Louisiana Tech",56," Houston",49
" Maine",3," Boston College",34
" Maryland",36," Temple",27
" Memphis",28," Arkansas State",33
" Miami (Florida)",13," Kansas State",52
" Michigan State",41," Central Michigan",7
" Morgan State",34," Buffalo",56
" North Carolina",27," Wake Forest",28
