"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L"
"Alcorn State",0,0,0,1
"Florida International",3,5,5,7
"North Carolina",8,1,11,2
"Oklahoma State",7,2,10,2
"Villanova",0,0,0,1
"VMI",0,0,0,1
"Elon",0,0,0,1
"Abil Christian",0,0,0,1
"Baylor",6,3,9,3
"UC Davis",0,0,0,2
"Colorado",1,8,4,9
"Duke",4,4,7,5
"Fordham",0,0,1,0
"Michigan State",8,1,12,1
"Michigan",6,2,9,3
"UNH",0,0,0,1
"Ohio",5,3,8,4
"URI",0,0,0,1
"Southern Utah",0,0,0,1
"TCU",7,2,10,2
"UTSA",3,5,3,9
"Western Kentucky",9,0,11,2
"Charlotte",0,8,2,10
"Akron",5,3,7,5
"Albany (N.Y.)",0,0,0,1
"Arizona State",4,5,6,6
"Bethune-Cookman",0,0,0,1
"Bowling Green",8,1,10,3
"BYU",0,0,9,3
"Colgate",0,0,0,1
"Florida A&M",0,0,0,1
"Florida Atlantic",3,5,3,9
"Georgia Southern",6,2,8,4
"Grambling St",0,0,0,1
"Howard",0,0,0,2
"Illinois State",0,0,0,1
"Jackson State",0,0,0,1
"Kent State",2,6,3,9
"Louisville",5,3,7,5
"Maine",0,0,0,2
"Morgan State",0,0,0,1
"UNLV",2,6,3,9
"New Mexico State",3,5,3,9
"Norfolk State",0,0,0,3
"North Dakota",0,0,1,0
"Louisiana-Monroe",1,7,2,11
"Old Dominion",3,5,5,7
"Penn State",4,4,7,5
"Portland State",0,0,2,0
"Richmond",0,0,0,1
"Sam Houston",0,0,0,1
"Savannah State",0,0,0,2
"South Dakota St",0,0,1,0
"South Dakota",0,0,0,1
"SE Missouri St",0,0,0,1
"S Illinois",0,0,0,1
"Southern",0,0,0,2
"Missouri State",0,0,0,2
"Louisiana-Lafayette",3,5,4,8
"Stanford",9,1,11,2
"UT Martin",0,0,0,2
"Texas",4,5,5,7
"UTEP",3,5,5,7
"Towson",0,0,0,1
"Troy",3,5,4,8
"Virginia",3,5,4,8
"Wagner",0,0,0,2
"Washington",4,5,6,6
"Weber State",0,0,0,1
"Youngstown St",0,0,0,1
"Gardner-Webb",0,0,0,1
"Presbyterian",0,0,0,2
"Wofford",0,0,0,2
"Alabama A&M",0,0,0,1
"Arkansas State",7,0,8,3
"E Washington",0,0,0,1
"Mississippi State",4,4,8,4
"Mississippi Valley State",0,0,0,1
"Northern Iowa",0,0,0,1
"Purdue",1,7,2,10
"San Diego",0,0,0,1
"Texas State",2,6,3,9
"Tennessee Tech",0,0,0,1
"Wisconsin",6,2,9,3
"Ohio State",7,1,11,1
"Louisiana Tech",6,2,8,4
"Appalachian State",7,1,10,2
"Arizona",3,6,6,6
"Austin Peay",0,0,0,2
"Ball State",2,6,3,9
"Charleston So",0,0,0,2
"Buffalo",3,5,5,7
"Fresno State",2,6,3,9
"Sacramento St",0,0,0,1
"Delaware State",0,0,0,1
"East Carolina",3,4,5,7
"E Illinois",0,0,0,1
"E Kentucky",0,0,0,2
"Eastern Michigan",0,8,1,11
"Furman",0,0,1,1
"Georgia",5,3,9,3
"Hawaii",0,8,3,10
"Houston",7,1,12,1
"Indiana State",0,0,0,1
"Iowa",8,1,12,1
"Jacksonville St",0,0,0,1
"Kansas State",3,6,6,6
"Kentucky",2,6,5,7
"Lamar",0,0,0,1
"Liberty",0,0,1,1
"Marshall",6,2,9,3
"Massachusetts",2,6,3,9
"Memphis",5,2,9,3
"Miami (OH)",2,6,3,9
"Miami (FL)",5,3,8,4
"Middle Tennessee",6,2,7,5
"Minnesota",2,6,5,7
"Missouri",1,7,5,7
"Monmouth",0,0,0,1
"Murray State",0,0,0,2
"Nicholls State",0,0,0,2
"North Carolina A&T",0,0,0,1
"NC Central",0,0,0,2
"North Texas",1,7,1,11
"Northwestern St",0,0,0,2
"Notre Dame",1,0,10,2
"Oklahoma",8,1,11,1
"Oregon State",0,9,2,10
"Pittsburgh",6,2,8,4
"Prairie View A&M",0,0,0,1
"San Diego State",9,0,10,3
"South Florida",6,1,8,4
"SF Austin",0,0,0,1
"Toledo",6,2,9,2
"Tulane",1,6,3,9
"Army",0,1,2,10
"Utah State",5,3,6,6
"Wake Forest",1,7,3,9
"Washington State",6,3,8,4
"W Illinois",0,0,0,1
"Western Michigan",6,2,7,5
"Cent Arkansas",0,0,0,1
"Boise State",5,3,8,4
"Cal Poly",0,0,0,1
"UCLA",5,4,8,4
"UCF",0,8,0,12
"Georgia State",5,3,6,6
"Idaho",3,5,4,8
"LSU",5,3,8,3
"Oregon",7,2,9,3
"Rice",3,5,5,7
"San Jose State",4,4,5,7
"South Alabama",3,4,5,6
"Temple",7,2,10,3
"Tulsa",3,4,6,6
"Clemson",9,0,13,0
"Auburn",2,6,6,6
"Central Michigan",6,2,7,5
"Cincinnati",4,4,7,5
"Connecticut",4,3,6,6
"Florida State",6,2,10,2
"Georgia Tech",1,7,3,9
"Idaho State",0,0,0,2
"Illinois",2,6,5,7
"Nebraska",3,5,5,7
"Nevada",4,4,6,6
"New Mexico",5,3,7,5
"Northern Illinois",6,3,8,5
"Northwestern",6,2,10,2
"SE Louisiana",0,0,0,1
"Air Force",6,3,8,5
"Virginia Tech",4,4,6,6
"William & Mary",0,0,0,1
"California",4,5,7,5
"The Citadel",0,0,1,1
"Florida",7,2,10,3
"Iowa State",2,7,3,9
"Ole Miss",6,2,9,3
"North Carolina State",3,5,7,5
"N Arizona",0,0,0,1
"Rutgers",1,7,4,8
"South Carolina",1,7,3,9
"SMU",1,6,2,10
"Southern Miss",7,2,9,4
"Texas Tech",4,5,7,5
"Utah",6,3,9,3
"W Carolina",0,0,0,2
"Wyoming",2,6,2,10
"Colorado State",5,3,7,5
"Delaware",0,0,0,1
"Indiana",2,6,6,6
"JMU",0,0,1,0
"Kansas",0,9,0,12
"Maryland",1,7,3,9
"Samford",0,0,0,1
"Tennessee",5,3,8,4
"Texas A&M",4,4,8,4
"Navy",1,1,10,2
"Vanderbilt",2,6,4,8
"USC",6,4,8,5
"Incarnate Word",0,0,0,1
"Alabama",8,1,12,1
"Arkansas",5,3,7,5
"Boston College",0,8,3,9
"West Virginia",4,5,7,5
"Syracuse",2,6,4,8
"Bucknell",0,0,0,1
"Chattanooga",0,0,0,1
